,Application,Object_Name,Object_Type,COUNT.Version.Changes,Defect,fit.cluster
145,E,/MSAFX/MSAFS119,REPT,5,0,2
146,E,/MSAFX/MSAFS128,REPS,5,0,2
147,G,/MSAFX/MSAFS128,REPT,5,0,2
148,A,/MSAFX/MSAFS129,REPS,5,0,2
149,I,/MSAFX/MSAFS129,REPT,5,0,2
150,C,/MSAFX/MSAFS145,PROG,5,0,2
151,F,/MSAFX/MSAFS147,PROG,5,0,2
152,A,/MSAFX/MSAFS148,PROG,5,0,2
153,F,/MSAFX/MSAFS153,REPS,5,0,2
154,E,/MSAFX/MSAFS2054,REPS,5,0,2
155,J,/MSAFX/MY_SAF000F01,PROG,5,0,2
156,I,/MSAFX/MY_SAF000I01,PROG,5,0,2
157,B,/MSAFX/MY_SAF000O01,PROG,5,0,2
158,J,/MSAFX/MY_SAF000TOP,PROG,5,0,2
159,I,/MSAFX/MY_SAF500F01,PROG,5,0,2
160,G,/MSAFX/MY_SAF500I01,PROG,5,0,2
161,H,/MSAFX/MY_SAF500O01,PROG,5,0,2
162,I,/MSAFX/MY_SAF500TOP,PROG,5,0,2
163,B,/MSAFX/SAF_INC_FORMS,PROG,5,0,2
164,E,/MSAFX/SAFE_MIGR,FUGR,5,0,2
165,F,/MSAFX/SAFE_MIGRACAO,FUGR,5,0,2
166,H,/MSAFX/SAFE_PROC,FUGR,5,0,2
167,G,/MSAFX/SAFE_PROCESSOS,FUGR,5,0,2
168,G,/MSAFX/SAFE070,FUNC,5,0,2
169,D,/MSAFX/SAFEX001,PROG,5,0,2
170,B,/MSAFX/SAFEX002,PROG,5,0,2
171,F,/MSAFX/SAFRP001,PROG,5,0,2
172,A,/MSAFX/SAFRP002,PROG,5,0,2
173,B,/MSAFX/SAFRP003,PROG,5,0,2
174,C,/MSAFX/SAFRP004,PROG,5,0,2
175,I,/MSAFX/SAFRP005,PROG,5,0,2
176,I,/MSAFX/SAFRP006,PROG,5,0,2
177,C,/MSAFX/SAFRP506,PROG,5,0,2
178,D,/MSAFX/SAFRP506_MATRIZ,PROG,5,0,2
179,G,/MSAFX/SAFRP510,PROG,5,0,2
180,J,/MSAFX/SAFRP520,PROG,5,0,2
181,C,/MSAFX/SAFRP530,PROG,5,0,2
182,H,/MSAFX/SAFRP540,PROG,5,0,2
183,J,/MSAFX/SAFRP550,PROG,5,0,2
184,C,/MSAFX/SAFRPLOG,PROG,5,0,2
185,A,/MSAFX/SAFTRP506,PROG,5,0,2
186,F,/MSAFX/SAPMY_SAF000,PROG,5,0,2
187,J,/MSAFX/SAPMY_SAF500,PROG,5,0,2
188,J,/MSAFX/ZMSAFZ001,REPS,5,0,2
189,E,/MSAFX/ZMSAFZ001,REPT,5,0,2
190,D,/MSAFX/ZMSAFZ002,REPS,5,0,2
191,C,/MSAFX/ZMSAFZ002,REPT,5,0,2
192,F,/MSAFX/ZMSAFZ003,REPS,5,0,2
193,A,/MSAFX/ZMSAFZ003,REPT,5,0,2
194,B,/MSAFX/ZMSAFZ004,REPS,5,0,2
195,B,/MSAFX/ZMSAFZ004,REPT,5,0,2
196,B,/MSAFX/ZMSAFZ005,REPS,5,0,2
197,H,/MSAFX/ZMSAFZ005,REPT,5,0,2
198,C,/MSAFX/ZMSAFZ006,REPS,5,0,2
199,E,/MSAFX/ZMSAFZ006,REPT,5,0,2
200,G,/MSAFX/ZMSAFZ007,REPS,5,0,2
201,E,/MSAFX/ZMSAFZ007,REPT,5,0,2
202,E,/MSAFX/ZMSAFZ008,REPS,5,0,2
203,A,/MSAFX/ZMSAFZ008,REPT,5,0,2
204,A,/MSAFX/ZMSAFZ009,REPS,5,0,2
205,H,/MSAFX/ZMSAFZ009,REPT,5,0,2
206,I,/MSAFX/ZMSAFZ010,REPS,5,0,2
207,B,/MSAFX/ZMSAFZ010,REPT,5,0,2
208,I,/MSAFX/ZMSAFZ011,REPS,5,0,2
209,G,/MSAFX/ZMSAFZ011,REPT,5,0,2
210,I,/MSAFX/ZMSAFZ012,REPS,5,0,2
211,E,/MSAFX/ZMSAFZ012,REPT,5,0,2
212,D,/MSAFX/ZMSAFZ013,REPS,5,0,2
213,J,/MSAFX/ZMSAFZ013,REPT,5,0,2
214,J,/MSAFX/ZMSAFZ014,REPS,5,0,2
215,A,/MSAFX/ZMSAFZ014,REPT,5,0,2
216,J,/MSAFX/ZMSAFZ015,REPS,5,0,2
217,I,/MSAFX/ZMSAFZ015,REPT,5,0,2
218,H,/MSAFX/ZMSAFZ016,REPS,5,0,2
219,I,/MSAFX/ZMSAFZ016,REPT,5,0,2
220,B,/MSAFX/ZMSAFZ017,REPS,5,0,2
221,G,/MSAFX/ZMSAFZ017,REPT,5,0,2
222,G,/MSAFX/ZMSAFZ018,REPS,5,0,2
223,G,/MSAFX/ZMSAFZ018,REPT,5,0,2
224,C,/MSAFX/ZMSAFZ019,REPS,5,0,2
225,F,/MSAFX/ZMSAFZ019,REPT,5,0,2
226,E,/MSAFX/ZMSAFZ021,REPS,5,0,2
227,D,/MSAFX/ZMSAFZ021,REPT,5,0,2
228,C,/MSAFX/ZMSAFZ022,REPS,5,0,2
229,C,/MSAFX/ZMSAFZ022,REPT,5,0,2
230,J,/MSAFX/ZMSAFZ024,REPS,5,0,2
231,J,/MSAFX/ZMSAFZ024,REPT,5,0,2
232,D,/MSAFX/ZMSAFZ026,REPS,5,0,2
233,F,/MSAFX/ZMSAFZ026,REPT,5,0,2
234,H,/MSAFX/ZMSAFZ027,PROG,5,0,2
235,A,/MSAFX/ZMSAFZ028,REPS,5,0,2
236,D,/MSAFX/ZMSAFZ028,REPT,5,0,2
237,G,/MSAFX/ZMSAFZ031,REPS,5,0,2
238,G,/MSAFX/ZMSAFZ031,REPT,5,0,2
239,F,/MSAFX/ZMSAFZ032,REPS,5,0,2
240,H,/MSAFX/ZMSAFZ032,REPT,5,0,2
241,A,/MSAFX/ZMSAFZ036,REPS,5,0,2
242,A,/MSAFX/ZMSAFZ036,REPT,5,0,2
243,I,/MSAFX/ZMSAFZ037,REPS,5,0,2
244,F,/MSAFX/ZMSAFZ037,REPT,5,0,2
245,E,/MSAFX/ZMSAFZ038,REPS,5,0,2
246,H,/MSAFX/ZMSAFZ038,REPT,5,0,2
247,F,/MSAFX/ZMSAFZ039,REPS,5,0,2
248,G,/MSAFX/ZMSAFZ039,REPT,5,0,2
249,H,/MSAFX/ZMSAFZ040,REPS,5,0,2
250,C,/MSAFX/ZMSAFZ040,REPT,5,0,2
251,G,/MSAFX/ZMSAFZ040_HR,REPS,5,0,2
252,H,/MSAFX/ZMSAFZ040_HR,REPT,5,0,2
253,B,/MSAFX/ZMSAFZ041,REPS,5,0,2
254,I,/MSAFX/ZMSAFZ041,REPT,5,0,2
255,I,/MSAFX/ZMSAFZ041_HR,REPS,5,0,2
256,C,/MSAFX/ZMSAFZ041_HR,REPT,5,0,2
257,H,/MSAFX/ZMSAFZ042,REPS,5,0,2
258,I,/MSAFX/ZMSAFZ042,REPT,5,0,2
259,D,/MSAFX/ZMSAFZ042_HR,REPS,5,0,2
260,C,/MSAFX/ZMSAFZ042_HR,REPT,5,0,2
261,J,/MSAFX/ZMSAFZ043,REPS,5,0,2
262,B,/MSAFX/ZMSAFZ043,REPT,5,0,2
263,C,/MSAFX/ZMSAFZ043_HR,REPS,5,0,2
264,D,/MSAFX/ZMSAFZ043_HR,REPT,5,0,2
265,J,/MSAFX/ZMSAFZ044,REPS,5,0,2
266,B,/MSAFX/ZMSAFZ044,REPT,5,0,2
267,F,/MSAFX/ZMSAFZ044_HR,REPS,5,0,2
268,H,/MSAFX/ZMSAFZ044_HR,REPT,5,0,2
269,I,/MSAFX/ZMSAFZ045,REPS,5,0,2
270,J,/MSAFX/ZMSAFZ045,REPT,5,0,2
271,E,/MSAFX/ZMSAFZ045_HR,REPS,5,0,2
272,H,/MSAFX/ZMSAFZ045_HR,REPT,5,0,2
273,F,/MSAFX/ZMSAFZ046,REPS,5,0,2
274,I,/MSAFX/ZMSAFZ046,REPT,5,0,2
275,A,/MSAFX/ZMSAFZ046_HR,REPS,5,0,2
276,J,/MSAFX/ZMSAFZ046_HR,REPT,5,0,2
277,H,/MSAFX/ZMSAFZ047,REPS,5,0,2
278,C,/MSAFX/ZMSAFZ047,REPT,5,0,2
279,B,/MSAFX/ZMSAFZ048,REPS,5,0,2
280,B,/MSAFX/ZMSAFZ048,REPT,5,0,2
281,E,/MSAFX/ZMSAFZ050_HR,REPS,5,0,2
282,I,/MSAFX/ZMSAFZ050_HR,REPT,5,0,2
283,J,/MSAFX/ZMSAFZ051,REPS,5,0,2
284,F,/MSAFX/ZMSAFZ051,REPT,5,0,2
285,C,/MSAFX/ZMSAFZ052,REPS,5,0,2
286,I,/MSAFX/ZMSAFZ052,REPT,5,0,2
287,I,/MSAFX/ZMSAFZ052_HR,REPS,5,0,2
288,I,/MSAFX/ZMSAFZ052_HR,REPT,5,0,2
289,I,/MSAFX/ZMSAFZ053_HR,REPS,5,0,2
290,B,/MSAFX/ZMSAFZ053_HR,REPT,5,0,2
291,J,/MSAFX/ZMSAFZ054_HR,REPS,5,0,2
292,G,/MSAFX/ZMSAFZ054_HR,REPT,5,0,2
293,B,/MSAFX/ZMSAFZ056,REPS,5,0,2
294,D,/MSAFX/ZMSAFZ056,REPT,5,0,2
295,H,/MSAFX/ZMSAFZ057,REPS,5,0,2
296,I,/MSAFX/ZMSAFZ057,REPT,5,0,2
297,G,/MSAFX/ZMSAFZ058,REPS,5,0,2
298,D,/MSAFX/ZMSAFZ058,REPT,5,0,2
299,J,/MSAFX/ZMSAFZ059,REPS,5,0,2
300,D,/MSAFX/ZMSAFZ059,REPT,5,0,2
301,D,/MSAFX/ZMSAFZ060,REPS,5,0,2
302,J,/MSAFX/ZMSAFZ060,REPT,5,0,2
303,I,/MSAFX/ZMSAFZ061,REPS,5,0,2
304,B,/MSAFX/ZMSAFZ061,REPT,5,0,2
305,A,/MSAFX/ZMSAFZ062,REPS,5,0,2
306,E,/MSAFX/ZMSAFZ062,REPT,5,0,2
307,I,/MSAFX/ZMSAFZ064,REPS,5,0,2
308,E,/MSAFX/ZMSAFZ064,REPT,5,0,2
309,H,/MSAFX/ZMSAFZ065,REPS,5,0,2
310,F,/MSAFX/ZMSAFZ065,REPT,5,0,2
311,A,/MSAFX/ZMSAFZ070,REPS,5,0,2
312,I,/MSAFX/ZMSAFZ070,REPT,5,0,2
313,A,/MSAFX/ZMSAFZ072,REPS,5,0,2
314,E,/MSAFX/ZMSAFZ072,REPT,5,0,2
315,B,/MSAFX/ZMSAFZ075,REPS,5,0,2
316,I,/MSAFX/ZMSAFZ075,REPT,5,0,2
317,F,/MSAFX/ZMSAFZ083,REPS,5,0,2
318,G,/MSAFX/ZMSAFZ083,REPT,5,0,2
319,E,/MSAFX/ZMSAFZ099,REPS,5,0,2
320,C,/MSAFX/ZMSAFZ099,REPT,5,0,2
321,E,/MSAFX/ZMSAFZ100,PROG,5,0,2
322,E,/MSAFX/ZMSAFZ104,REPS,5,0,2
323,A,/MSAFX/ZMSAFZ104,REPT,5,0,2
324,B,/MSAFX/ZMSAFZ108,REPS,5,0,2
325,F,/MSAFX/ZMSAFZ108,REPT,5,0,2
326,B,/MSAFX/ZMSAFZ109,PROG,5,0,2
327,C,/MSAFX/ZMSAFZ117,PROG,5,0,2
328,F,/MSAFX/ZMSAFZ119,REPS,5,0,2
329,H,/MSAFX/ZMSAFZ119,REPT,5,0,2
330,E,/MSAFX/ZMSAFZ126,REPS,5,0,2
331,G,/MSAFX/ZMSAFZ126,REPT,5,0,2
332,D,/MSAFX/ZMSAFZ129,REPS,5,0,2
333,H,/MSAFX/ZMSAFZ129,REPT,5,0,2
334,D,/MSAFX/ZMSAFZ130,REPS,5,0,2
335,E,/MSAFX/ZMSAFZ130,REPT,5,0,2
336,J,/MSAFX/ZMSAFZ133,REPS,5,0,2
337,J,/MSAFX/ZMSAFZ133,REPT,5,0,2
338,J,/MSAFX/ZMSAFZ134,REPS,5,0,2
339,G,/MSAFX/ZMSAFZ134,REPT,5,0,2
340,F,/MSAFX/ZMSAFZ135,REPS,5,0,2
341,B,/MSAFX/ZMSAFZ135,REPT,5,0,2
342,D,/MSAFX/ZMSAFZ136,REPS,5,0,2
343,A,/MSAFX/ZMSAFZ136,REPT,5,0,2
344,J,/MSAFX/ZMSAFZ139,PROG,5,0,2
345,H,/MSAFX/ZMSAFZ143,PROG,5,0,2
346,D,/MSAFX/ZMSAFZ144,REPS,5,0,2
347,H,/MSAFX/ZMSAFZ144,REPT,5,0,2
348,D,/MSAFX/ZMSAFZ145,REPS,5,0,2
349,D,/MSAFX/ZMSAFZ145,REPT,5,0,2
350,E,/MSAFX/ZMSAFZ146,PROG,5,0,2
351,E,/MSAFX/ZMSAFZ147,REPS,5,0,2
352,F,/MSAFX/ZMSAFZ147,REPT,5,0,2
353,D,/MSAFX/ZMSAFZ148,REPS,5,0,2
354,A,/MSAFX/ZMSAFZ148,REPT,5,0,2
355,E,/MSAFX/ZMSAFZ149,REPS,5,0,2
356,B,/MSAFX/ZMSAFZ149,REPT,5,0,2
357,C,/MSAFX/ZMSAFZ150,REPS,5,0,2
358,B,/MSAFX/ZMSAFZ150,REPT,5,0,2
359,J,/MSAFX/ZMSAFZ151,REPS,5,0,2
360,H,/MSAFX/ZMSAFZ151,REPT,5,0,2
361,A,/MSAFX/ZMSAFZ152,REPS,5,0,2
362,F,/MSAFX/ZMSAFZ152,REPT,5,0,2
363,H,/MSAFX/ZMSAFZ153,PROG,5,0,2
364,D,/MSAFX/ZMSAFZ154,PROG,5,0,2
365,E,/MSAFX/ZMSAFZ165,PROG,5,0,2
366,J,/MSAFX/ZMSAFZ170,PROG,5,0,2
367,C,/MSAFX/ZMSAFZ180,PROG,5,0,2
368,B,/MSAFX/ZMSAFZ183,REPS,5,0,2
369,F,/MSAFX/ZMSAFZ183,REPT,5,0,2
370,F,/MSAFX/ZMSAFZ185,REPS,5,0,2
371,B,/MSAFX/ZMSAFZ185,REPT,5,0,2
372,B,/MSAFX/ZMSAFZ187,PROG,5,0,2
373,E,/MSAFX/ZMSAFZ193,REPS,5,0,2
374,J,/MSAFX/ZMSAFZ193,REPT,5,0,2
375,B,/MSAFX/ZMSAFZ197,REPS,5,0,2
376,E,/MSAFX/ZMSAFZ198,REPS,5,0,2
377,A,/MSAFX/ZMSAFZ199,REPS,5,0,2
378,D,/MSAFX/ZMSAFZ199,REPT,5,0,2
379,F,/MSAFX/ZMSAFZ200,REPS,5,0,2
380,A,/MSAFX/ZMSAFZ200,REPT,5,0,2
381,D,/MSAFX/ZMSAFZ2024,PROG,5,0,2
382,D,/MSAFX/ZMSAFZ2050,REPS,5,0,2
383,C,/MSAFX/ZMSAFZ2050,REPT,5,0,2
384,D,/MSAFX/ZMSAFZ2054,REPS,5,0,2
385,H,/MSAFX/ZMSAFZ2087,REPS,5,0,2
386,D,/MSAFX/ZMSAFZ2087,REPT,5,0,2
387,I,/MSAFX/ZMSAFZ2101,REPS,5,0,2
388,I,/MSAFX/ZMSAFZ2101,REPT,5,0,2
389,E,/MSAFX/ZMSAFZ2102,REPS,5,0,2
390,B,/MSAFX/ZMSAFZ2102,REPT,5,0,2
391,D,/MSAFX/ZMSAFZ2103,REPS,5,0,2
392,A,/MSAFX/ZMSAFZ2103,REPT,5,0,2
393,D,/MSAFX/ZMSAFZ214,REPS,5,0,2
394,C,/MSAFX/ZMSAFZ214,REPT,5,0,2
395,G,/MSAFX/ZMSAFZ226,REPS,5,0,2
396,J,/MSAFX/ZMSAFZ226,REPT,5,0,2
397,J,/MSAFX/ZMSAFZ700,REPS,5,0,2
398,G,/MSAFX/ZMSAFZ700,REPT,5,0,2
399,F,/MSAFX/ZMSAFZ775,REPS,5,0,2
400,F,/MSAFX/ZMSAFZ775,REPT,5,0,2
401,E,/MSAFX/ZMSAFZ991,REPS,5,0,2
402,I,/MSAFX/ZMSAFZ991,REPT,5,0,2
403,C,/MSAFX/ZMSAFZ995,PROG,5,0,2
404,D,/MSAFX/ZMSAFZFORM,REPS,5,0,2
405,E,/MSAFX/ZMSAFZFORM,REPT,5,0,2
406,D,/SFTCMX/CEXPORT,FUGR,7,0,2
407,B,/SFTCMX/CIMPORT,FUGR,7,0,2
408,G,/SFTCMX/CUSTOM,PROG,7,0,2
409,C,/SFTCMX/D001DX,PROG,5,0,2
410,B,/SFTCMX/D001FX,PROG,5,0,2
411,F,/SFTCMX/D002DX,PROG,7,0,2
412,F,/SFTCMX/D003DX,PROG,7,0,2
413,D,/SFTCMX/D004DX,PROG,7,0,2
414,G,/SFTCMX/D004FX,PROG,7,0,2
415,C,/SFTCMX/DI101D,PROG,5,0,2
416,G,/SFTCMX/DI101DX,PROG,7,0,2
417,H,/SFTCMX/DI101FX,PROG,7,0,2
418,J,/SFTCMX/DI201DX,PROG,5,0,2
419,B,/SFTCMX/DI201FX,PROG,5,0,2
420,C,/SFTCMX/DI202DX,PROG,5,0,2
421,J,/SFTCMX/DI202FX,PROG,5,0,2
422,J,/SFTCMX/DI203DX,PROG,5,0,2
423,B,/SFTCMX/DI203FX,PROG,5,0,2
424,B,/SFTCMX/DI205DX,PROG,5,0,2
425,E,/SFTCMX/DI205FX,PROG,5,0,2
426,B,/SFTCMX/DI206DX,PROG,5,0,2
427,F,/SFTCMX/DI206FX,PROG,5,0,2
428,H,/SFTCMX/DI207DX,PROG,5,0,2
429,G,/SFTCMX/DI207FX,PROG,5,0,2
430,D,/SFTCMX/DI301DX,PROG,5,0,2
431,I,/SFTCMX/DI301FX,PROG,5,0,2
432,G,/SFTCMX/DI302DX,PROG,6,0,2
433,A,/SFTCMX/DI302FX,PROG,6,0,2
434,D,/SFTCMX/DI304DX,PROG,5,0,2
435,C,/SFTCMX/DI304FX,PROG,5,0,2
436,A,/SFTCMX/DI305DX,PROG,5,0,2
437,A,/SFTCMX/DI305FX,PROG,5,0,2
438,G,/SFTCMX/DI306DX,PROG,5,0,2
439,H,/SFTCMX/DI306FX,PROG,5,0,2
440,E,/SFTCMX/DI307DX,PROG,5,0,2
441,C,/SFTCMX/DI307FX,PROG,5,0,2
442,J,/SFTCMX/DI400DX,PROG,5,0,2
443,C,/SFTCMX/DI400FX,PROG,5,0,2
444,B,/SFTCMX/DI401DX,PROG,5,0,2
445,G,/SFTCMX/DI401FX,PROG,5,0,2
446,J,/SFTCMX/DI402DX,PROG,5,0,2
447,H,/SFTCMX/DI402FX,PROG,5,0,2
448,H,/SFTCMX/DI501DX,PROG,5,0,2
449,G,/SFTCMX/DI501FX,PROG,5,0,2
450,C,/SFTCMX/DI502DX,PROG,5,0,2
451,I,/SFTCMX/DI502FX,PROG,5,0,2
452,H,/SFTCMX/DI503DX,PROG,5,0,2
453,A,/SFTCMX/DI503FX,PROG,5,0,2
454,B,/SFTCMX/DI504DX,PROG,5,0,2
455,J,/SFTCMX/DI504FX,PROG,5,0,2
456,G,/SFTCMX/DO101DX,PROG,7,0,2
457,A,/SFTCMX/DO101FX,PROG,7,0,2
458,D,/SFTCMX/DO102DX,PROG,7,0,2
459,I,/SFTCMX/DO102FX,PROG,7,0,2
460,I,/SFTCMX/DO103DX,PROG,5,0,2
